attrition,마찰;마모;감소
callous,냉담한;무신경한;(피부가)굳은
chauffeur,(자가용 차)운전사
crackdown,일제 단속
deflect,빗나가게 하다
desist,그만두다;단념하다
elapse,(시간이) 경과하다
enumerate,열거하다
foible,약점;단점
forte,장점
hamper,방해하다;제한하다
jolt,갑자기 세게 흔들리다
litigious,소송을 좋아하는;소송의
maneuver,조종하다;교묘히 다루다;조작;책략
mete,할당하다;배당하다
nitpick,흠을 잡다
rear-end,~에 추돌하다;후미의
roadworthy,도로용으로 적합한
smite,세게 때리다;강타하다
sober,술 취하지 않은;엄숙한;냉정한
stall,(엔진이) 멎다;매점;노점
strident,귀에 거슬리는
swerve,방향을 바꾸다;벗어나다
tailgate,앞차에 바짝 붙어 운전하다
topple,넘어지다;앞으로 비틀거리다
upend,일으켜 세우다;뒤집다
vice versa,반대의 경우도 마찬가지로
windshield,자동차 앞유리
wobble,흔들흔들하다;동요
above par,액면 이상으로;표준 이상으로
accrue,이자가 붙다;결과로 생기다
affluent,부유한;풍부한
annuity,연금
antitrust,독점 금지의
avaricious,욕심 많은;탐욕스러운
barter,물물 교환하다;물물 교환
bolster,지지하다;지원하다
collateral,담보;저당물
conspicuous consumption,과시적 소비
conspicuously,눈에 띄게;두드러지게
curtail,줄이다;삭감하다
defray,부담하다;지출하다
destitute,빈곤한;궁핍한
disburse,지불하다;분배하다
fiscal year,회계 연도
insolvent,파산한;지급 능력이 없는
installment,할부;분할 불입
meager,빈약한;불충분한
off the chart,일반적인 기준을 넘어선
pension,연금
scrimp,절약하다;긴축하다
sluggish,"부진한, 불경기의"
solvency,지불능력
superfluous,여분의;남아도는
transgress,넘다;위반하다
unparalleled,비할 데 없는;유례 없는
vault,금고;금고실
vicious circle,악순환
antacid,제산제
antioxidant,산화방지제;노화방지제
binge drinking,폭음
carbohydrate,탄수화물
confectionary,사탕 과자;당과
corpulent,"비만의, 살찐"
cutlery,수저류;식기 도구
distend,부풀게 하다;팽창시키다
fermentation,발효
glutton,대식가;열중하는 사람
gnaw,갉아먹다;씹다
gourmet,미식가의;미식가;식도락가
gulp,꿀꺽 삼키다
insatiable,만족할 줄 모르는
luscious,맛 좋은;달콤한
morsel,한 입;한 조각
pare,~의 껍질을 벗기다
pasteurize,저온 살균하다
quench thirst,갈증을 풀다
repugnant,불쾌한; 비위에 거슬리는
sate,"(식욕, 욕망을)충분히 만족시키다"
slick,매끄러운;교묘한
stale,상한;김 빠진;진부한
supple,유연한;나긋나긋한
surfeit,과식;범람
tantalize,감질나게 하다
thaw,녹이다;해동시키다
titillate,감질나게 하다;간질이다
vapid,김 빠진;맛이 없는
